"","Numeracy","ProblemCorr","Difficulty_forgraphs","PConTypeLabeled","catpolitical","id"
"83",2,NA,"Easy","Apolitical Items","Moderates",14
"84",2,1,"Easy","Apolitical Items","Moderates",14
"85",6,1,"Easy","Conservative Confirming Items","Conservatives",15
"86",6,1,"Easy","Liberal Confirming Items","Conservatives",15
"87",6,1,"Easy","Conservative Confirming Items","Conservatives",15
"88",6,0,"Easy","Liberal Confirming Items","Conservatives",15
"89",6,0,"Easy","Apolitical Items","Conservatives",15
"90",6,0,"Easy","Apolitical Items","Conservatives",15
"91",2,1,"Easy","Conservative Confirming Items","Liberals",16
"92",2,1,"Easy","Liberal Confirming Items","Liberals",16
"93",2,1,"Easy","Conservative Confirming Items","Liberals",16
"94",2,1,"Easy","Liberal Confirming Items","Liberals",16
"95",2,1,"Easy","Apolitical Items","Liberals",16
"96",2,1,"Easy","Apolitical Items","Liberals",16
"97",4,1,"Easy","Conservative Confirming Items","Liberals",17
"98",4,1,"Easy","Liberal Confirming Items","Liberals",17
"99",4,1,"Easy","Conservative Confirming Items","Liberals",17
"100",4,1,"Easy","Liberal Confirming Items","Liberals",17
"101",4,1,"Easy","Apolitical Items","Liberals",17
"102",4,1,"Easy","Apolitical Items","Liberals",17
"103",4,0,"Easy","Conservative Confirming Items","Liberals",18
"104",4,1,"Easy","Liberal Confirming Items","Liberals",18
"105",4,0,"Easy","Conservative Confirming Items","Liberals",18
"106",4,1,"Easy","Liberal Confirming Items","Liberals",18
"107",4,1,"Easy","Apolitical Items","Liberals",18
"108",4,1,"Easy","Apolitical Items","Liberals",18
"109",8,1,"Easy","Conservative Confirming Items","Liberals",19
"110",8,1,"Easy","Liberal Confirming Items","Liberals",19
"111",8,1,"Easy","Conservative Confirming Items","Liberals",19
"112",8,1,"Easy","Liberal Confirming Items","Liberals",19
"113",8,1,"Easy","Apolitical Items","Liberals",19
"114",8,1,"Easy","Apolitical Items","Liberals",19
"115",7,0,"Easy","Conservative Confirming Items","Conservatives",20
"116",7,1,"Easy","Liberal Confirming Items","Conservatives",20
"117",7,0,"Easy","Conservative Confirming Items","Conservatives",20
"118",7,1,"Easy","Liberal Confirming Items","Conservatives",20
"119",7,1,"Easy","Apolitical Items","Conservatives",20
"120",7,1,"Easy","Apolitical Items","Conservatives",20
"121",6,1,"Easy","Conservative Confirming Items","Liberals",21
"122",6,1,"Easy","Liberal Confirming Items","Liberals",21
"123",6,1,"Easy","Conservative Confirming Items","Liberals",21
"124",6,1,"Easy","Liberal Confirming Items","Liberals",21
"125",6,1,"Easy","Apolitical Items","Liberals",21
"126",6,1,"Easy","Apolitical Items","Liberals",21
"127",4,1,"Easy","Conservative Confirming Items","Liberals",22
"128",4,1,"Easy","Liberal Confirming Items","Liberals",22
"129",4,1,"Easy","Conservative Confirming Items","Liberals",22
"130",4,1,"Easy","Liberal Confirming Items","Liberals",22
"131",4,1,"Easy","Apolitical Items","Liberals",22
"132",4,1,"Easy","Apolitical Items","Liberals",22
"133",7,0,"Easy","Conservative Confirming Items","Liberals",23
"134",7,1,"Easy","Liberal Confirming Items","Liberals",23
"135",7,0,"Easy","Conservative Confirming Items","Liberals",23
"136",7,1,"Easy","Liberal Confirming Items","Liberals",23
"137",7,1,"Easy","Apolitical Items","Liberals",23
"138",7,1,"Easy","Apolitical Items","Liberals",23
"139",5,1,"Easy","Conservative Confirming Items","Liberals",24
"140",5,1,"Easy","Liberal Confirming Items","Liberals",24
"141",5,1,"Easy","Conservative Confirming Items","Liberals",24
"142",5,1,"Easy","Liberal Confirming Items","Liberals",24
"143",5,1,"Easy","Apolitical Items","Liberals",24
"144",5,1,"Easy","Apolitical Items","Liberals",24
"145",6,1,"Easy","Conservative Confirming Items","Liberals",25
"146",6,1,"Easy","Liberal Confirming Items","Liberals",25
"147",6,1,"Easy","Conservative Confirming Items","Liberals",25
"148",6,1,"Easy","Liberal Confirming Items","Liberals",25
"149",6,1,"Easy","Apolitical Items","Liberals",25
"150",6,1,"Easy","Apolitical Items","Liberals",25
"151",2,1,"Easy","Conservative Confirming Items","Liberals",26
"152",2,1,"Easy","Liberal Confirming Items","Liberals",26
"153",2,1,"Easy","Conservative Confirming Items","Liberals",26
"154",2,0,"Easy","Liberal Confirming Items","Liberals",26
"155",2,1,"Easy","Apolitical Items","Liberals",26
"156",2,1,"Easy","Apolitical Items","Liberals",26
"157",6,1,"Easy","Conservative Confirming Items","Liberals",27
"158",6,1,"Easy","Liberal Confirming Items","Liberals",27
"159",6,1,"Easy","Conservative Confirming Items","Liberals",27
"160",6,1,"Easy","Liberal Confirming Items","Liberals",27
"161",6,1,"Easy","Apolitical Items","Liberals",27
"162",6,1,"Easy","Apolitical Items","Liberals",27
"163",5,1,"Easy","Conservative Confirming Items","Moderates",28
"164",5,0,"Easy","Liberal Confirming Items","Moderates",28
"165",5,1,"Easy","Conservative Confirming Items","Moderates",28
"166",5,0,"Easy","Liberal Confirming Items","Moderates",28
"167",5,1,"Easy","Apolitical Items","Moderates",28
"168",5,1,"Easy","Apolitical Items","Moderates",28
"169",4,1,"Easy","Conservative Confirming Items","Liberals",29
"170",4,1,"Easy","Liberal Confirming Items","Liberals",29
"171",4,1,"Easy","Conservative Confirming Items","Liberals",29
"172",4,0,"Easy","Liberal Confirming Items","Liberals",29
"173",4,1,"Easy","Apolitical Items","Liberals",29
"174",4,1,"Easy","Apolitical Items","Liberals",29
"175",6,1,"Easy","Conservative Confirming Items","Moderates",30
"176",6,0,"Easy","Liberal Confirming Items","Moderates",30
"177",6,1,"Easy","Conservative Confirming Items","Moderates",30
"178",6,1,"Easy","Liberal Confirming Items","Moderates",30
"179",6,1,"Easy","Apolitical Items","Moderates",30
"180",6,0,"Easy","Apolitical Items","Moderates",30
"181",1,1,"Easy","Conservative Confirming Items","Liberals",31
"182",1,1,"Easy","Liberal Confirming Items","Liberals",31
"183",1,1,"Easy","Conservative Confirming Items","Liberals",31
"184",1,1,"Easy","Liberal Confirming Items","Liberals",31
"185",1,1,"Easy","Apolitical Items","Liberals",31
"186",1,1,"Easy","Apolitical Items","Liberals",31
"187",3,1,"Easy","Conservative Confirming Items","Moderates",32
"188",3,1,"Easy","Liberal Confirming Items","Moderates",32
"189",3,1,"Easy","Conservative Confirming Items","Moderates",32
"190",3,1,"Easy","Liberal Confirming Items","Moderates",32
"191",3,1,"Easy","Apolitical Items","Moderates",32
"192",3,1,"Easy","Apolitical Items","Moderates",32
"193",2,1,"Easy","Conservative Confirming Items","Moderates",33
"194",2,1,"Easy","Liberal Confirming Items","Moderates",33
"195",2,1,"Easy","Conservative Confirming Items","Moderates",33
"196",2,1,"Easy","Liberal Confirming Items","Moderates",33
"197",2,1,"Easy","Apolitical Items","Moderates",33
"198",2,1,"Easy","Apolitical Items","Moderates",33
"199",5,0,"Easy","Conservative Confirming Items","Liberals",34
"200",5,0,"Easy","Liberal Confirming Items","Liberals",34
"201",5,0,"Easy","Conservative Confirming Items","Liberals",34
"202",5,0,"Easy","Liberal Confirming Items","Liberals",34
"203",5,1,"Easy","Apolitical Items","Liberals",34
"204",5,1,"Easy","Apolitical Items","Liberals",34
"205",3,1,"Easy","Conservative Confirming Items","Moderates",35
"206",3,0,"Easy","Liberal Confirming Items","Moderates",35
"207",3,1,"Easy","Conservative Confirming Items","Moderates",35
"208",3,1,"Easy","Liberal Confirming Items","Moderates",35
"209",3,1,"Easy","Apolitical Items","Moderates",35
"210",3,1,"Easy","Apolitical Items","Moderates",35
"211",5,1,"Easy","Conservative Confirming Items","Conservatives",36
"212",5,1,"Easy","Liberal Confirming Items","Conservatives",36
"213",5,1,"Easy","Conservative Confirming Items","Conservatives",36
"214",5,1,"Easy","Liberal Confirming Items","Conservatives",36
"215",5,1,"Easy","Apolitical Items","Conservatives",36
"216",5,1,"Easy","Apolitical Items","Conservatives",36
"217",7,1,"Easy","Conservative Confirming Items","Liberals",37
"218",7,1,"Easy","Liberal Confirming Items","Liberals",37
"219",7,1,"Easy","Conservative Confirming Items","Liberals",37
"220",7,1,"Easy","Liberal Confirming Items","Liberals",37
"221",7,1,"Easy","Apolitical Items","Liberals",37
"222",7,0,"Easy","Apolitical Items","Liberals",37
"223",1,1,"Easy","Conservative Confirming Items","Liberals",38
"224",1,1,"Easy","Liberal Confirming Items","Liberals",38
"225",1,0,"Easy","Conservative Confirming Items","Liberals",38
"226",1,1,"Easy","Liberal Confirming Items","Liberals",38
"227",1,1,"Easy","Apolitical Items","Liberals",38
"228",1,1,"Easy","Apolitical Items","Liberals",38
"229",6,1,"Easy","Conservative Confirming Items","Liberals",39
"230",6,1,"Easy","Liberal Confirming Items","Liberals",39
"231",6,1,"Easy","Conservative Confirming Items","Liberals",39
"232",6,1,"Easy","Liberal Confirming Items","Liberals",39
"233",6,1,"Easy","Apolitical Items","Liberals",39
"234",6,1,"Easy","Apolitical Items","Liberals",39
"235",7,1,"Easy","Conservative Confirming Items","Moderates",40
"236",7,0,"Easy","Liberal Confirming Items","Moderates",40
"237",7,1,"Easy","Conservative Confirming Items","Moderates",40
"238",7,1,"Easy","Liberal Confirming Items","Moderates",40
"239",7,0,"Easy","Apolitical Items","Moderates",40
"240",7,1,"Easy","Apolitical Items","Moderates",40
"241",4,1,"Easy","Conservative Confirming Items","Moderates",41
"242",4,1,"Easy","Liberal Confirming Items","Moderates",41
"243",4,1,"Easy","Conservative Confirming Items","Moderates",41
"244",4,1,"Easy","Liberal Confirming Items","Moderates",41
"245",4,1,"Easy","Apolitical Items","Moderates",41
"246",4,1,"Easy","Apolitical Items","Moderates",41
"247",5,1,"Easy","Conservative Confirming Items","Liberals",42
"248",5,1,"Easy","Liberal Confirming Items","Liberals",42
"249",5,1,"Easy","Conservative Confirming Items","Liberals",42
"250",5,1,"Easy","Liberal Confirming Items","Liberals",42
"251",5,1,"Easy","Apolitical Items","Liberals",42
"252",5,1,"Easy","Apolitical Items","Liberals",42
"253",8,1,"Easy","Conservative Confirming Items","Liberals",43
"254",8,1,"Easy","Liberal Confirming Items","Liberals",43
"255",8,1,"Easy","Conservative Confirming Items","Liberals",43
"256",8,1,"Easy","Liberal Confirming Items","Liberals",43
"257",8,1,"Easy","Apolitical Items","Liberals",43
"258",8,1,"Easy","Apolitical Items","Liberals",43
"259",2,0,"Easy","Conservative Confirming Items","Liberals",44
"260",2,1,"Easy","Liberal Confirming Items","Liberals",44
"261",2,1,"Easy","Conservative Confirming Items","Liberals",44
"262",2,1,"Easy","Liberal Confirming Items","Liberals",44
"263",2,1,"Easy","Apolitical Items","Liberals",44
"264",2,1,"Easy","Apolitical Items","Liberals",44
"265",7,1,"Easy","Conservative Confirming Items","Moderates",45
"266",7,1,"Easy","Liberal Confirming Items","Moderates",45
"267",7,1,"Easy","Conservative Confirming Items","Moderates",45
"268",7,1,"Easy","Liberal Confirming Items","Moderates",45
"269",7,1,"Easy","Apolitical Items","Moderates",45
"270",7,1,"Easy","Apolitical Items","Moderates",45
"271",6,1,"Easy","Conservative Confirming Items","Liberals",46
"272",6,1,"Easy","Liberal Confirming Items","Liberals",46
"273",6,1,"Easy","Conservative Confirming Items","Liberals",46
"274",6,1,"Easy","Liberal Confirming Items","Liberals",46
"275",6,1,"Easy","Apolitical Items","Liberals",46
"276",6,1,"Easy","Apolitical Items","Liberals",46
"277",8,1,"Easy","Conservative Confirming Items","Liberals",47
"278",8,1,"Easy","Liberal Confirming Items","Liberals",47
"279",8,1,"Easy","Conservative Confirming Items","Liberals",47
"280",8,1,"Easy","Liberal Confirming Items","Liberals",47
"281",8,1,"Easy","Apolitical Items","Liberals",47
"282",8,1,"Easy","Apolitical Items","Liberals",47
"283",5,1,"Easy","Conservative Confirming Items","Liberals",48
"284",5,1,"Easy","Liberal Confirming Items","Liberals",48
"285",5,1,"Easy","Conservative Confirming Items","Liberals",48
"286",5,1,"Easy","Liberal Confirming Items","Liberals",48
"287",5,1,"Easy","Apolitical Items","Liberals",48
"288",5,1,"Easy","Apolitical Items","Liberals",48
"289",5,1,"Easy","Conservative Confirming Items","Liberals",49
"290",5,1,"Easy","Liberal Confirming Items","Liberals",49
"291",5,1,"Easy","Conservative Confirming Items","Liberals",49
"292",5,1,"Easy","Liberal Confirming Items","Liberals",49
"293",5,1,"Easy","Apolitical Items","Liberals",49
"294",5,1,"Easy","Apolitical Items","Liberals",49
"295",5,1,"Easy","Conservative Confirming Items","Liberals",50
"296",5,1,"Easy","Liberal Confirming Items","Liberals",50
"297",5,1,"Easy","Conservative Confirming Items","Liberals",50
"298",5,1,"Easy","Liberal Confirming Items","Liberals",50
"299",5,1,"Easy","Apolitical Items","Liberals",50
"300",5,1,"Easy","Apolitical Items","Liberals",50
"301",3,1,"Easy","Conservative Confirming Items","Liberals",51
"302",3,1,"Easy","Liberal Confirming Items","Liberals",51
"303",3,1,"Easy","Conservative Confirming Items","Liberals",51
"304",3,1,"Easy","Liberal Confirming Items","Liberals",51
"305",3,1,"Easy","Apolitical Items","Liberals",51
"306",3,1,"Easy","Apolitical Items","Liberals",51
"307",5,1,"Easy","Conservative Confirming Items","Liberals",52
"308",5,1,"Easy","Liberal Confirming Items","Liberals",52
"309",5,1,"Easy","Conservative Confirming Items","Liberals",52
"310",5,1,"Easy","Liberal Confirming Items","Liberals",52
"311",5,1,"Easy","Apolitical Items","Liberals",52
"312",5,1,"Easy","Apolitical Items","Liberals",52
"313",8,1,"Easy","Conservative Confirming Items","Liberals",53
"314",8,1,"Easy","Liberal Confirming Items","Liberals",53
"315",8,1,"Easy","Conservative Confirming Items","Liberals",53
"316",8,1,"Easy","Liberal Confirming Items","Liberals",53
"317",8,1,"Easy","Apolitical Items","Liberals",53
"318",8,1,"Easy","Apolitical Items","Liberals",53
"319",2,1,"Easy","Conservative Confirming Items","Moderates",54
"320",2,1,"Easy","Liberal Confirming Items","Moderates",54
"321",2,1,"Easy","Conservative Confirming Items","Moderates",54
"322",2,0,"Easy","Liberal Confirming Items","Moderates",54
"323",2,1,"Easy","Apolitical Items","Moderates",54
"324",2,1,"Easy","Apolitical Items","Moderates",54
"325",5,1,"Easy","Conservative Confirming Items","Conservatives",55
"326",5,1,"Easy","Liberal Confirming Items","Conservatives",55
"327",5,0,"Easy","Conservative Confirming Items","Conservatives",55
"328",5,1,"Easy","Liberal Confirming Items","Conservatives",55
"329",5,1,"Easy","Apolitical Items","Conservatives",55
"330",5,0,"Easy","Apolitical Items","Conservatives",55
"331",5,1,"Easy","Conservative Confirming Items","Liberals",56
"332",5,1,"Easy","Liberal Confirming Items","Liberals",56
"333",5,1,"Easy","Conservative Confirming Items","Liberals",56
"334",5,1,"Easy","Liberal Confirming Items","Liberals",56
"335",5,1,"Easy","Apolitical Items","Liberals",56
"336",5,1,"Easy","Apolitical Items","Liberals",56
"337",8,1,"Easy","Conservative Confirming Items","Moderates",57
"338",8,1,"Easy","Liberal Confirming Items","Moderates",57
"339",8,1,"Easy","Conservative Confirming Items","Moderates",57
"340",8,1,"Easy","Liberal Confirming Items","Moderates",57
"341",8,1,"Easy","Apolitical Items","Moderates",57
"342",8,1,"Easy","Apolitical Items","Moderates",57
"343",5,1,"Easy","Conservative Confirming Items","Conservatives",58
"344",5,0,"Easy","Liberal Confirming Items","Conservatives",58
"345",5,1,"Easy","Conservative Confirming Items","Conservatives",58
"346",5,1,"Easy","Liberal Confirming Items","Conservatives",58
"347",5,1,"Easy","Apolitical Items","Conservatives",58
"348",5,1,"Easy","Apolitical Items","Conservatives",58
"349",3,1,"Easy","Conservative Confirming Items","Moderates",59
"350",3,1,"Easy","Liberal Confirming Items","Moderates",59
"351",3,1,"Easy","Conservative Confirming Items","Moderates",59
"352",3,1,"Easy","Liberal Confirming Items","Moderates",59
"353",3,1,"Easy","Apolitical Items","Moderates",59
"354",3,1,"Easy","Apolitical Items","Moderates",59
"355",4,1,"Easy","Conservative Confirming Items","Liberals",60
"356",4,1,"Easy","Liberal Confirming Items","Liberals",60
"357",4,1,"Easy","Conservative Confirming Items","Liberals",60
"358",4,1,"Easy","Liberal Confirming Items","Liberals",60
"359",4,1,"Easy","Apolitical Items","Liberals",60
"360",4,1,"Easy","Apolitical Items","Liberals",60
"361",5,1,"Easy","Conservative Confirming Items","Liberals",61
"362",5,1,"Easy","Liberal Confirming Items","Liberals",61
"363",5,1,"Easy","Conservative Confirming Items","Liberals",61
"364",5,1,"Easy","Liberal Confirming Items","Liberals",61
"365",5,1,"Easy","Apolitical Items","Liberals",61
"366",5,1,"Easy","Apolitical Items","Liberals",61
"367",6,1,"Easy","Conservative Confirming Items","Liberals",62
"368",6,1,"Easy","Liberal Confirming Items","Liberals",62
"369",6,1,"Easy","Conservative Confirming Items","Liberals",62
"370",6,1,"Easy","Liberal Confirming Items","Liberals",62
"371",6,1,"Easy","Apolitical Items","Liberals",62
"372",6,1,"Easy","Apolitical Items","Liberals",62
"373",8,1,"Easy","Conservative Confirming Items","Moderates",63
"374",8,1,"Easy","Liberal Confirming Items","Moderates",63
"375",8,1,"Easy","Conservative Confirming Items","Moderates",63
"376",8,1,"Easy","Liberal Confirming Items","Moderates",63
"377",8,1,"Easy","Apolitical Items","Moderates",63
"378",8,1,"Easy","Apolitical Items","Moderates",63
"379",4,1,"Easy","Conservative Confirming Items","Moderates",64
"380",4,1,"Easy","Liberal Confirming Items","Moderates",64
"381",4,1,"Easy","Conservative Confirming Items","Moderates",64
"382",4,1,"Easy","Liberal Confirming Items","Moderates",64
"383",4,1,"Easy","Apolitical Items","Moderates",64
"384",4,1,"Easy","Apolitical Items","Moderates",64
"385",6,1,"Easy","Conservative Confirming Items","Liberals",65
"386",6,1,"Easy","Liberal Confirming Items","Liberals",65
"387",6,1,"Easy","Conservative Confirming Items","Liberals",65
"388",6,1,"Easy","Liberal Confirming Items","Liberals",65
"389",6,1,"Easy","Apolitical Items","Liberals",65
"390",6,1,"Easy","Apolitical Items","Liberals",65
"391",4,1,"Easy","Conservative Confirming Items","Liberals",66
"392",4,1,"Easy","Liberal Confirming Items","Liberals",66
"393",4,0,"Easy","Conservative Confirming Items","Liberals",66
"394",4,0,"Easy","Liberal Confirming Items","Liberals",66
"395",4,1,"Easy","Apolitical Items","Liberals",66
"396",4,1,"Easy","Apolitical Items","Liberals",66
"397",8,1,"Easy","Conservative Confirming Items","Liberals",67
"398",8,1,"Easy","Liberal Confirming Items","Liberals",67
"399",8,1,"Easy","Conservative Confirming Items","Liberals",67
"400",8,1,"Easy","Liberal Confirming Items","Liberals",67
"401",8,1,"Easy","Apolitical Items","Liberals",67
"402",8,1,"Easy","Apolitical Items","Liberals",67
"403",1,1,"Easy","Conservative Confirming Items","Conservatives",68
"404",1,0,"Easy","Liberal Confirming Items","Conservatives",68
"405",1,1,"Easy","Conservative Confirming Items","Conservatives",68
"406",1,1,"Easy","Liberal Confirming Items","Conservatives",68
"407",1,1,"Easy","Apolitical Items","Conservatives",68
"408",1,0,"Easy","Apolitical Items","Conservatives",68
"409",7,1,"Easy","Conservative Confirming Items","Liberals",69
"410",7,1,"Easy","Liberal Confirming Items","Liberals",69
"411",7,1,"Easy","Conservative Confirming Items","Liberals",69
"412",7,1,"Easy","Liberal Confirming Items","Liberals",69
"413",7,1,"Easy","Apolitical Items","Liberals",69
"414",7,1,"Easy","Apolitical Items","Liberals",69
"415",8,1,"Easy","Conservative Confirming Items","Liberals",70
"416",8,1,"Easy","Liberal Confirming Items","Liberals",70
"417",8,1,"Easy","Conservative Confirming Items","Liberals",70
"418",8,0,"Easy","Liberal Confirming Items","Liberals",70
"419",8,1,"Easy","Apolitical Items","Liberals",70
"420",8,1,"Easy","Apolitical Items","Liberals",70
"421",5,1,"Easy","Conservative Confirming Items","Liberals",71
"422",5,0,"Easy","Liberal Confirming Items","Liberals",71
"423",5,1,"Easy","Conservative Confirming Items","Liberals",71
"424",5,1,"Easy","Liberal Confirming Items","Liberals",71
"425",5,1,"Easy","Apolitical Items","Liberals",71
"426",5,1,"Easy","Apolitical Items","Liberals",71
"427",5,1,"Easy","Conservative Confirming Items","Liberals",72
"428",5,1,"Easy","Liberal Confirming Items","Liberals",72
"429",5,1,"Easy","Conservative Confirming Items","Liberals",72
"430",5,1,"Easy","Liberal Confirming Items","Liberals",72
"431",5,1,"Easy","Apolitical Items","Liberals",72
"432",5,1,"Easy","Apolitical Items","Liberals",72
"433",5,1,"Easy","Conservative Confirming Items","Moderates",73
"434",5,1,"Easy","Liberal Confirming Items","Moderates",73
"435",5,1,"Easy","Conservative Confirming Items","Moderates",73
"436",5,1,"Easy","Liberal Confirming Items","Moderates",73
"437",5,1,"Easy","Apolitical Items","Moderates",73
"438",5,1,"Easy","Apolitical Items","Moderates",73
"439",7,1,"Easy","Conservative Confirming Items","Moderates",74
"440",7,1,"Easy","Liberal Confirming Items","Moderates",74
"441",7,1,"Easy","Conservative Confirming Items","Moderates",74
"442",7,1,"Easy","Liberal Confirming Items","Moderates",74
"443",7,1,"Easy","Apolitical Items","Moderates",74
"444",7,1,"Easy","Apolitical Items","Moderates",74
"445",2,1,"Easy","Conservative Confirming Items","Conservatives",75
"446",2,1,"Easy","Liberal Confirming Items","Conservatives",75
"447",2,1,"Easy","Conservative Confirming Items","Conservatives",75
"448",2,0,"Easy","Liberal Confirming Items","Conservatives",75
"449",2,1,"Easy","Apolitical Items","Conservatives",75
"450",2,1,"Easy","Apolitical Items","Conservatives",75
"451",5,1,"Easy","Conservative Confirming Items","Conservatives",76
"452",5,1,"Easy","Liberal Confirming Items","Conservatives",76
"453",5,1,"Easy","Conservative Confirming Items","Conservatives",76
"454",5,1,"Easy","Liberal Confirming Items","Conservatives",76
"455",5,1,"Easy","Apolitical Items","Conservatives",76
"456",5,1,"Easy","Apolitical Items","Conservatives",76
"457",5,1,"Easy","Conservative Confirming Items","Conservatives",77
"458",5,1,"Easy","Liberal Confirming Items","Conservatives",77
"459",5,1,"Easy","Conservative Confirming Items","Conservatives",77
"460",5,1,"Easy","Liberal Confirming Items","Conservatives",77
"461",5,1,"Easy","Apolitical Items","Conservatives",77
"462",5,1,"Easy","Apolitical Items","Conservatives",77
"463",3,1,"Easy","Conservative Confirming Items","Conservatives",78
"464",3,1,"Easy","Liberal Confirming Items","Conservatives",78
"465",3,1,"Easy","Conservative Confirming Items","Conservatives",78
"466",3,0,"Easy","Liberal Confirming Items","Conservatives",78
"467",3,1,"Easy","Apolitical Items","Conservatives",78
"468",3,1,"Easy","Apolitical Items","Conservatives",78
"469",4,1,"Easy","Conservative Confirming Items","Liberals",79
"470",4,1,"Easy","Liberal Confirming Items","Liberals",79
"471",4,1,"Easy","Conservative Confirming Items","Liberals",79
"472",4,1,"Easy","Liberal Confirming Items","Liberals",79
"473",4,1,"Easy","Apolitical Items","Liberals",79
"474",4,1,"Easy","Apolitical Items","Liberals",79
"475",2,1,"Easy","Conservative Confirming Items","Liberals",80
"476",2,1,"Easy","Liberal Confirming Items","Liberals",80
